PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.CV,PG.Qvalue,PG.MolecularWeight,control_detected_samples,control_detection_rate,low_detected_samples,low_detection_rate,high_detected_samples,high_detection_rate
P10321,HLA-C,"HLA class I histocompatibility antigen, C alpha chain",HLAC_HUMAN,0.8231369357198828,0.0065597667638483,40648.53,136,0.8888888888888888,161,0.8655913978494624,151,0.8579545454545454
P10412,H1-4,Histone H1.4,H14_HUMAN,2.52131329837506,0.0016233766233766,21865.27,153,1.0,186,1.0,175,0.9943181818181818
P10451,SPP1,Osteopontin,OSTP_HUMAN,0.5346903579158226,0.0040983606557377,35422.74,153,1.0,186,1.0,176,1.0
P10586,PTPRF,Receptor-type tyrosine-protein phosphatase F,PTPRF_HUMAN,0.5854535632240637,0.0016233766233766,212878.88,151,0.9869281045751634,186,1.0,175,0.9943181818181818
P10599,TXN,Thioredoxin,THIO_HUMAN,0.7583925313693869,0.0016233766233766,11737.49,151,0.9869281045751634,186,1.0,176,1.0
P10619,CTSA,Lysosomal protective protein,PPGB_HUMAN,1.02014280774122,0.0072727272727272,54466.07,112,0.7320261437908496,147,0.7903225806451613,134,0.7613636363636364
P10643,C7,Complement component C7,CO7_HUMAN,1.123981489636666,0.0040983606557377,93518.23,153,1.0,186,1.0,176,1.0
P10644,PRKAR1A,cAMP-dependent protein kinase type I-alpha regulatory subunit,KAP0_HUMAN,1.678367671343433,0.0040983606557377,42981.69,137,0.8954248366013072,157,0.8440860215053764,153,0.8693181818181818
P10645,CHGA,Chromogranin-A,CMGA_HUMAN,0.8321906713355931,0.0016233766233766,50688.44,153,1.0,186,1.0,176,1.0
P10646,TFPI,Tissue factor pathway inhibitor,TFPI1_HUMAN,0.6165900159126749,0.0040983606557377,35015.1,153,1.0,186,1.0,176,1.0
P10721,KIT,Mast/stem cell growth factor receptor Kit,KIT_HUMAN,0.7940803352249991,0.0072727272727272,109864.56,115,0.7516339869281046,114,0.6129032258064516,114,0.6477272727272727
P10768,ESD,S-formylglutathione hydrolase,ESTD_HUMAN,1.093375303775582,0.0040983606557377,31462.79,139,0.9084967320261438,167,0.8978494623655914,154,0.875
P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",CH60_HUMAN,2.009743531841403,0.0016233766233766,61054.63,142,0.9281045751633987,170,0.9139784946236559,154,0.875
P10909,CLU,Clusterin,CLUS_HUMAN,0.5399160921345794,0.0016233766233766,52494.57,153,1.0,186,1.0,176,1.0
P11021,HSPA5,Endoplasmic reticulum chaperone BiP,BIP_HUMAN,0.694593822189584,0.0016233766233766,72332.96,153,1.0,186,1.0,176,1.0
P11047,LAMC1,Laminin subunit gamma-1,LAMC1_HUMAN,0.6965810207336309,0.0016233766233766,177602.86,153,1.0,186,1.0,176,1.0
P11049,CD37,Leukocyte antigen CD37,CD37_HUMAN,0.6391089635913382,0.0073810825587752,31703.27,153,1.0,185,0.9946236559139785,175,0.9943181818181818
P11142,HSPA8,Heat shock cognate 71 kDa protein,HSP7C_HUMAN,0.9249299015804112,0.0016233766233766,70898.09,153,1.0,186,1.0,176,1.0
P11150,LIPC,Hepatic triacylglycerol lipase,LIPC_HUMAN,0.5303877298933863,0.0016233766233766,55914.49,147,0.9607843137254902,177,0.9516129032258065,169,0.9602272727272727
P11166,SLC2A1,"Solute carrier family 2, facilitated glucose transporter member 1",GTR1_HUMAN,1.019281469948837,0.0016233766233766,54083.77,152,0.9934640522875817,186,1.0,174,0.9886363636363636
P11169,SLC2A3,"Solute carrier family 2, facilitated glucose transporter member 3",GTR3_HUMAN,1.75637318293264,0.0016233766233766,53924.27,106,0.6928104575163399,133,0.7150537634408602,129,0.7329545454545454
P11171,EPB41,Protein 4.1,EPB41_HUMAN,1.233120942125246,0.0016233766233766,97016.88,152,0.9934640522875817,186,1.0,174,0.9886363636363636
P11215,ITGAM,Integrin alpha-M,ITAM_HUMAN,0.6237047604680207,0.0016233766233766,127178.5,153,1.0,186,1.0,176,1.0
P11216,PYGB,"Glycogen phosphorylase, brain form",PYGB_HUMAN,3.326298400488217,0.0073810825587752,96695.95,104,0.6797385620915033,131,0.7043010752688172,118,0.6704545454545454
P11217,PYGM,"Glycogen phosphorylase, muscle form",PYGM_HUMAN,3.072813525128695,0.0040983606557377,97092.05,125,0.8169934640522876,157,0.8440860215053764,144,0.8181818181818182
P11226,MBL2,Mannose-binding protein C,MBL2_HUMAN,1.69949859761368,0.0058910162002945,26143.53,153,1.0,186,1.0,175,0.9943181818181818
P11233,RALA,Ras-related protein Ral-A,RALA_HUMAN,0.7216274985127166,0.0016233766233766,23566.79,97,0.6339869281045751,132,0.7096774193548387,114,0.6477272727272727
P11234,RALB,Ras-related protein Ral-B,RALB_HUMAN,1.045815456392811,0.0016233766233766,23408.55,151,0.9869281045751634,184,0.989247311827957,174,0.9886363636363636
P11277,SPTB,"Spectrin beta chain, erythrocytic",SPTB1_HUMAN,1.370020276965011,0.0016233766233766,246468.1,153,1.0,186,1.0,176,1.0
P11279,LAMP1,Lysosome-associated membrane glycoprotein 1,LAMP1_HUMAN,0.6965875334621098,0.0072727272727272,44882.35,132,0.8627450980392157,167,0.8978494623655914,152,0.8636363636363636
P11362,FGFR1,Fibroblast growth factor receptor 1,FGFR1_HUMAN,0.6031008323747915,0.0040983606557377,91867.74,148,0.9673202614379085,182,0.978494623655914,171,0.9715909090909091
P11413,G6PD,Glucose-6-phosphate 1-dehydrogenase,G6PD_HUMAN,2.036796944735962,0.0016233766233766,59256.75,145,0.9477124183006536,169,0.9086021505376344,160,0.9090909090909091
P11586,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic",C1TC_HUMAN,1.008425840164419,0.0040983606557377,101531.2,151,0.9869281045751634,180,0.967741935483871,171,0.9715909090909091
P11597,CETP,Cholesteryl ester transfer protein,CETP_HUMAN,0.7100389536892849,0.0016233766233766,54756.21,153,1.0,186,1.0,176,1.0
P11717,IGF2R,Cation-independent mannose-6-phosphate receptor,MPRI_HUMAN,0.5682214009255889,0.0073810825587752,274374.82,113,0.738562091503268,147,0.7903225806451613,131,0.7443181818181818
P11766,ADH5,Alcohol dehydrogenase class-3,ADHX_HUMAN,2.041248559551202,0.0073810825587752,39724.22,116,0.7581699346405228,155,0.8333333333333334,126,0.7159090909090909
P11836,MS4A1,B-lymphocyte antigen CD20,CD20_HUMAN,0.6034513143862033,0.0073810825587752,33077.31,121,0.7908496732026143,147,0.7903225806451613,116,0.6590909090909091
P11940,PABPC1,Polyadenylate-binding protein 1,PABP1_HUMAN,1.410241279649917,0.0040983606557377,70670.84,122,0.7973856209150327,163,0.8763440860215054,136,0.7727272727272727
P12081,HARS1,"Histidine--tRNA ligase, cytoplasmic",HARS1_HUMAN,1.576377403363012,0.0073810825587752,57410.5,88,0.5751633986928104,118,0.6344086021505376,95,0.5397727272727273
P12109,COL6A1,Collagen alpha-1(VI) chain,CO6A1_HUMAN,0.5318977753466564,0.0016233766233766,108529.39,153,1.0,186,1.0,176,1.0
P12110,COL6A2,Collagen alpha-2(VI) chain,CO6A2_HUMAN,0.6313969946574433,0.0016233766233766,108579.43,152,0.9934640522875817,186,1.0,176,1.0
P12111,COL6A3,Collagen alpha-3(VI) chain,CO6A3_HUMAN,0.4623693802992389,0.0016233766233766,343669.37,153,1.0,186,1.0,176,1.0
P12236,SLC25A6,ADP/ATP translocase 3,ADT3_HUMAN,1.885016873086447,0.0040983606557377,32866.26,90,0.5882352941176471,110,0.5913978494623656,95,0.5397727272727273
P12259,F5,Coagulation factor V,FA5_HUMAN,0.3886512121428182,0.0016233766233766,251703.42,153,1.0,186,1.0,176,1.0
P12273,PIP,Prolactin-inducible protein,PIP_HUMAN,1.471528150406664,0.0040983606557377,16572.47,142,0.9281045751633987,174,0.9354838709677419,161,0.9147727272727273
P12277,CKB,Creatine kinase B-type,KCRB_HUMAN,2.105802325149898,0.0073810825587752,42644.28,96,0.6274509803921569,104,0.5591397849462365,105,0.5965909090909091
P12429,ANXA3,Annexin A3,ANXA3_HUMAN,1.884262441087156,0.0040983606557377,36375.27,115,0.7516339869281046,141,0.7580645161290323,121,0.6875
P12814,ACTN1,Alpha-actinin-1,ACTN1_HUMAN,2.400003225185858,0.0016233766233766,103057.55,153,1.0,186,1.0,176,1.0
P12821,ACE,Angiotensin-converting enzyme,ACE_HUMAN,0.6375249833747811,0.0030581039755351,149714.85,152,0.9934640522875817,186,1.0,175,0.9943181818181818
P12830,CDH1,Cadherin-1,CADH1_HUMAN,0.6722920200651833,0.0016233766233766,97456.15,153,1.0,186,1.0,176,1.0
P12931,SRC,Proto-oncogene tyrosine-protein kinase Src,SRC_HUMAN,2.21252715276074,0.0016233766233766,59834.76,124,0.8104575163398693,160,0.8602150537634409,134,0.7613636363636364
P12955,PEPD,Xaa-Pro dipeptidase,PEPD_HUMAN,3.529802047694135,0.0073810825587752,54548.17,108,0.7058823529411765,140,0.7526881720430108,125,0.7102272727272727
P12956,XRCC6,DNA repair protein Ku70,XRCC6_HUMAN,1.765071534711562,0.0073810825587752,69843.06,90,0.5882352941176471,104,0.5591397849462365,98,0.5568181818181818
P13224,GP1BB,Platelet glycoprotein Ib beta chain,GP1BB_HUMAN,1.445263652350465,0.0040983606557377,21717.71,152,0.9934640522875817,184,0.989247311827957,176,1.0
P13473,LAMP2,Lysosome-associated membrane glycoprotein 2,LAMP2_HUMAN,1.078445231003489,0.0073810825587752,44960.73,128,0.8366013071895425,155,0.8333333333333334,147,0.8352272727272727
P13489,RNH1,Ribonuclease inhibitor,RINI_HUMAN,0.9929745281883332,0.0016233766233766,49973.46,136,0.8888888888888888,171,0.9193548387096774,151,0.8579545454545454
P13497,BMP1,Bone morphogenetic protein 1,BMP1_HUMAN,0.5052144469257078,0.0016233766233766,111248.7,153,1.0,186,1.0,176,1.0
P13569,CFTR,Cystic fibrosis transmembrane conductance regulator,CFTR_HUMAN,0.9304236418756484,0.0073810825587752,168141.57,93,0.6078431372549019,102,0.5483870967741935,88,0.5
P13591,NCAM1,Neural cell adhesion molecule 1,NCAM1_HUMAN,0.5592610956424189,0.0016233766233766,94574.16,153,1.0,186,1.0,176,1.0
P13598,ICAM2,Intercellular adhesion molecule 2,ICAM2_HUMAN,0.6603407436027372,0.0040983606557377,30654.31,153,1.0,185,0.9946236559139785,173,0.9829545454545454
P13611,VCAN,Versican core protein,CSPG2_HUMAN,0.5233948963927666,0.0016233766233766,372820.05,153,1.0,186,1.0,176,1.0
P13612,ITGA4,Integrin alpha-4,ITA4_HUMAN,0.7105686541132343,0.0016233766233766,114899.65,151,0.9869281045751634,181,0.9731182795698925,172,0.9772727272727273
P13639,EEF2,Elongation factor 2,EF2_HUMAN,1.190755241182584,0.0072727272727272,95338.14,152,0.9934640522875817,185,0.9946236559139785,173,0.9829545454545454
P13645,KRT10,"Keratin, type I cytoskeletal 10",K1C10_HUMAN,0.8959937328400402,0.0016233766233766,58827.09,153,1.0,186,1.0,176,1.0
P13646,KRT13,"Keratin, type I cytoskeletal 13",K1C13_HUMAN,0.8878065121565143,0.0040983606557377,49588.21,153,1.0,186,1.0,176,1.0
P13647,KRT5,"Keratin, type II cytoskeletal 5",K2C5_HUMAN,1.030280817512252,0.0016233766233766,62378.34,153,1.0,186,1.0,176,1.0
P13667,PDIA4,Protein disulfide-isomerase A4,PDIA4_HUMAN,0.8623433538075647,0.0016233766233766,72932.49,152,0.9934640522875817,186,1.0,172,0.9772727272727273
P13671,C6,Complement component C6,CO6_HUMAN,0.8824363578298386,0.0040983606557377,104786.06,153,1.0,186,1.0,176,1.0
P13686,ACP5,Tartrate-resistant acid phosphatase type 5,PPA5_HUMAN,0.6107391541433798,0.0072727272727272,36598.77,134,0.8758169934640523,161,0.8655913978494624,133,0.7556818181818182
P13716,ALAD,Delta-aminolevulinic acid dehydratase,HEM2_HUMAN,0.8328362477664263,0.0072727272727272,36294.87,97,0.6339869281045751,117,0.6290322580645161,101,0.5738636363636364
P13727,PRG2,Bone marrow proteoglycan,PRG2_HUMAN,0.715354582958862,0.0072727272727272,25205.55,153,1.0,186,1.0,176,1.0
P13796,LCP1,Plastin-2,PLSL_HUMAN,0.867442120474967,0.0016233766233766,70288.39,153,1.0,186,1.0,176,1.0
P13797,PLS3,Plastin-3,PLST_HUMAN,0.8995695362523315,0.0030581039755351,70811.02,108,0.7058823529411765,134,0.7204301075268817,124,0.7045454545454546
P13798,APEH,Acylamino-acid-releasing enzyme,ACPH_HUMAN,0.9540396653951112,0.0016233766233766,81224.55,152,0.9934640522875817,184,0.989247311827957,168,0.9545454545454546
P13804,ETFA,"Electron transfer flavoprotein subunit alpha, mitochondrial",ETFA_HUMAN,1.47342589146345,0.0072727272727272,35079.57,94,0.6143790849673203,112,0.6021505376344086,107,0.6079545454545454
P13807,GYS1,"Glycogen [starch] synthase, muscle",GYS1_HUMAN,0.883544151785205,0.0073810825587752,83785.54,82,0.5359477124183006,94,0.5053763440860215,88,0.5
P13929,ENO3,Beta-enolase,ENOB_HUMAN,2.464253200050882,0.0016233766233766,46986.87,152,0.9934640522875817,185,0.9946236559139785,176,1.0
P13942,COL11A2,Collagen alpha-2(XI) chain,COBA2_HUMAN,0.6234933234376749,0.0040983606557377,171790.67,153,1.0,186,1.0,176,1.0
P13987,CD59,CD59 glycoprotein,CD59_HUMAN,0.5750731908376955,0.0073810825587752,14177.28,150,0.9803921568627451,185,0.9946236559139785,171,0.9715909090909091
P14151,SELL,L-selectin,LYAM1_HUMAN,0.4943891933174513,0.0040983606557377,42187.08,153,1.0,186,1.0,176,1.0
P14209,CD99,CD99 antigen,CD99_HUMAN,0.6564054908380308,0.0016233766233766,18847.87,153,1.0,186,1.0,176,1.0
P14314,PRKCSH,Glucosidase 2 subunit beta,GLU2B_HUMAN,0.4234468709081417,0.0040983606557377,59425.41,153,1.0,186,1.0,176,1.0
P14317,HCLS1,Hematopoietic lineage cell-specific protein,HCLS1_HUMAN,1.857673635429518,0.0016233766233766,54014.02,150,0.9803921568627451,184,0.989247311827957,170,0.9659090909090909
P14324,FDPS,Farnesyl pyrophosphate synthase,FPPS_HUMAN,1.294103838377956,0.0040983606557377,48275.48,88,0.5751633986928104,95,0.510752688172043,92,0.5227272727272727
P14543,NID1,Nidogen-1,NID1_HUMAN,0.6784416536328287,0.0016233766233766,136377.03,153,1.0,186,1.0,176,1.0
P14598,NCF1,Neutrophil cytosol factor 1,NCF1_HUMAN,1.810114625261436,0.0072727272727272,44681.84,83,0.5424836601307189,106,0.5698924731182796,97,0.5511363636363636
P14618,PKM,Pyruvate kinase PKM,KPYM_HUMAN,1.743147697671406,0.0016233766233766,57936.88,153,1.0,186,1.0,176,1.0
P14625,HSP90B1,Endoplasmin,ENPL_HUMAN,0.5696674272608313,0.0016233766233766,92468.86,153,1.0,186,1.0,176,1.0
P14649,MYL6B,Myosin light chain 6B,MYL6B_HUMAN,2.496730868410175,0.0040983606557377,22763.99,150,0.9803921568627451,178,0.956989247311828,171,0.9715909090909091
P14735,IDE,Insulin-degrading enzyme,IDE_HUMAN,1.52101636344076,0.0040983606557377,117968.49,136,0.8888888888888888,165,0.8870967741935484,144,0.8181818181818182
P14770,GP9,Platelet glycoprotein IX,GPIX_HUMAN,1.336039784984329,0.0016233766233766,19046.11,150,0.9803921568627451,178,0.956989247311828,166,0.9431818181818182
P14778,IL1R1,Interleukin-1 receptor type 1,IL1R1_HUMAN,0.7205950655986544,0.0073810825587752,65402.46,101,0.6601307189542484,140,0.7526881720430108,114,0.6477272727272727
P14780,MMP9,Matrix metalloproteinase-9,MMP9_HUMAN,1.481666017510626,0.0040983606557377,78458.23,151,0.9869281045751634,186,1.0,175,0.9943181818181818
P14868,DARS1,"Aspartate--tRNA ligase, cytoplasmic",SYDC_HUMAN,1.382544107111354,0.0040983606557377,57136.21,110,0.7189542483660131,134,0.7204301075268817,120,0.6818181818181818
P14923,JUP,Junction plakoglobin,PLAK_HUMAN,1.217289088196243,0.0016233766233766,81744.74,153,1.0,185,0.9946236559139785,173,0.9829545454545454
P15090,FABP4,"Fatty acid-binding protein, adipocyte",FABP4_HUMAN,0.5996863247990146,0.006765899864682,14718.88,137,0.8954248366013072,167,0.8978494623655914,150,0.8522727272727273
P15144,ANPEP,Aminopeptidase N,AMPN_HUMAN,0.937489598608876,0.0016233766233766,109539.6,144,0.9411764705882353,181,0.9731182795698925,171,0.9715909090909091
P15151,PVR,Poliovirus receptor,PVR_HUMAN,0.7216225660047476,0.0040983606557377,45302.6,152,0.9934640522875817,184,0.989247311827957,166,0.9431818181818182
P15153,RAC2,Ras-related C3 botulinum toxin substrate 2,RAC2_HUMAN,0.9326534003910724,0.0016233766233766,21428.8,153,1.0,185,0.9946236559139785,175,0.9943181818181818
P15169,CPN1,Carboxypeptidase N catalytic chain,CBPN_HUMAN,0.8839597376838647,0.0016233766233766,52286.23,153,1.0,186,1.0,176,1.0
P15170,GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,ERF3A_HUMAN,1.37659568256231,0.0072727272727272,55755.91,95,0.6209150326797386,106,0.5698924731182796,95,0.5397727272727273
P15291,B4GALT1,"Beta-1,4-galactosyltransferase 1",B4GT1_HUMAN,0.571259616386558,0.0016233766233766,43920.27,153,1.0,186,1.0,176,1.0
P15311,EZR,Ezrin,EZRI_HUMAN,0.5969117883359474,0.0040983606557377,69412.8,153,1.0,185,0.9946236559139785,174,0.9886363636363636
P15502,ELN,Elastin,ELN_HUMAN,0.6508778690899734,0.0016233766233766,68397.53,106,0.6928104575163399,137,0.7365591397849462,113,0.6420454545454546
P15531,NME1,Nucleoside diphosphate kinase A,NDKA_HUMAN,1.000309316230586,0.0016233766233766,17148.72,151,0.9869281045751634,183,0.9838709677419355,168,0.9545454545454546
P15814,IGLL1,Immunoglobulin lambda-like polypeptide 1,IGLL1_HUMAN,2.175138418006914,0.0040983606557377,22963.04,120,0.7843137254901961,157,0.8440860215053764,146,0.8295454545454546
P15880,RPS2,Small ribosomal subunit protein uS5,RS2_HUMAN,1.406676002598424,0.0058910162002945,31324.42,102,0.6666666666666666,120,0.6451612903225806,110,0.625
P15907,ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1",SIAT1_HUMAN,0.6415270687585914,0.0016233766233766,46604.58,153,1.0,186,1.0,176,1.0
P15924,DSP,Desmoplakin,DESP_HUMAN,1.186018248446321,0.0016233766233766,331773.89,153,1.0,186,1.0,176,1.0
P15941,MUC1,Mucin-1,MUC1_HUMAN,0.6316147765707029,0.0058910162002945,122102.29,153,1.0,185,0.9946236559139785,175,0.9943181818181818
P16035,TIMP2,Metalloproteinase inhibitor 2,TIMP2_HUMAN,0.6717671809182457,0.0040983606557377,24399.25,123,0.803921568627451,171,0.9193548387096774,151,0.8579545454545454
P16070,CD44,CD44 antigen,CD44_HUMAN,0.5020203146999542,0.0016233766233766,81537.62,153,1.0,186,1.0,176,1.0
P16083,NQO2,Ribosyldihydronicotinamide dehydrogenase [quinone],NQO2_HUMAN,0.8081329230677982,0.0072727272727272,25918.56,85,0.5555555555555556,112,0.6021505376344086,111,0.6306818181818182
P16109,SELP,P-selectin,LYAM3_HUMAN,2.447967953117638,0.0072727272727272,90819.86,127,0.8300653594771242,165,0.8870967741935484,156,0.8863636363636364
P16112,ACAN,Aggrecan core protein,PGCA_HUMAN,0.732620372942454,0.0040983606557377,261328.52,153,1.0,186,1.0,176,1.0
P16150,SPN,Leukosialin,LEUK_HUMAN,0.6495186455774227,0.0065597667638483,40321.93,153,1.0,186,1.0,176,1.0
P16152,CBR1,Carbonyl reductase [NADPH] 1,CBR1_HUMAN,1.694302649546225,0.0073810825587752,30374.93,124,0.8104575163398693,158,0.8494623655913979,142,0.8068181818181818
P16157,ANK1,Ankyrin-1,ANK1_HUMAN,1.40690594466554,0.0016233766233766,206264.77,153,1.0,186,1.0,176,1.0
P16284,PECAM1,Platelet endothelial cell adhesion molecule,PECA1_HUMAN,0.8938714902459683,0.0016233766233766,82522.18,153,1.0,186,1.0,175,0.9943181818181818
P16401,H1-5,Histone H1.5,H15_HUMAN,2.152027694532506,0.0016233766233766,22580.17,148,0.9673202614379085,186,1.0,174,0.9886363636363636
P16402,H1-3,Histone H1.3,H13_HUMAN,2.916737822142599,0.0073810825587752,22349.9,107,0.6993464052287581,113,0.6075268817204301,124,0.7045454545454546
P16403,H1-2,Histone H1.2,H12_HUMAN,1.775821757651767,0.0072727272727272,21364.75,125,0.8169934640522876,129,0.6935483870967742,131,0.7443181818181818
P16452,EPB42,Protein 4.2,EPB42_HUMAN,1.304806910729368,0.0016233766233766,77009.13,153,1.0,186,1.0,171,0.9715909090909091
P16615,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,AT2A2_HUMAN,1.715059527496495,0.0073810825587752,114756.86,87,0.5686274509803921,114,0.6129032258064516,98,0.5568181818181818
P16671,CD36,Platelet glycoprotein 4,CD36_HUMAN,0.8349718088825928,0.0016233766233766,53053.36,151,0.9869281045751634,186,1.0,174,0.9886363636363636
P16871,IL7R,Interleukin-7 receptor subunit alpha,IL7RA_HUMAN,0.6790526491419628,0.0016233766233766,51578.75,153,1.0,186,1.0,176,1.0
P16949,STMN1,Stathmin,STMN1_HUMAN,0.8020938154736856,0.0040983606557377,17302.51,146,0.954248366013072,175,0.9408602150537635,154,0.875
P16989,YBX3,Y-box-binding protein 3,YBOX3_HUMAN,1.195639257615712,0.0016233766233766,40089.95,114,0.7450980392156863,120,0.6451612903225806,116,0.6590909090909091
P17301,ITGA2,Integrin alpha-2,ITA2_HUMAN,0.799437942376442,0.0016233766233766,129296.38,153,1.0,186,1.0,176,1.0
P17655,CAPN2,Calpain-2 catalytic subunit,CAN2_HUMAN,0.7428533227726766,0.0040983606557377,79995.35,153,1.0,186,1.0,175,0.9943181818181818
P17813,ENG,Endoglin,EGLN_HUMAN,0.5161264898713819,0.0073810825587752,70578.07,105,0.6862745098039216,154,0.8279569892473119,133,0.7556818181818182
P17844,DDX5,Probable ATP-dependent RNA helicase DDX5,DDX5_HUMAN,0.9833494441572928,0.0040983606557377,69148.08,146,0.954248366013072,178,0.956989247311828,160,0.9090909090909091
P17858,PFKL,"ATP-dependent 6-phosphofructokinase, liver type",PFKAL_HUMAN,1.070251296850408,0.0030581039755351,85018.42,139,0.9084967320261438,173,0.9301075268817204,157,0.8920454545454546
P17900,GM2A,Ganglioside GM2 activator,SAP3_HUMAN,0.7404686501845668,0.006765899864682,20838.37,129,0.8431372549019608,171,0.9193548387096774,156,0.8863636363636364
P17927,CR1,Complement receptor type 1,CR1_HUMAN,0.6224515474325775,0.0055467511885895,223662.82,148,0.9673202614379085,181,0.9731182795698925,162,0.9204545454545454
P17931,LGALS3,Galectin-3,LEG3_HUMAN,0.7369866875310752,0.0058910162002945,26152.33,117,0.7647058823529411,158,0.8494623655913979,136,0.7727272727272727
P17936,IGFBP3,Insulin-like growth factor-binding protein 3,IBP3_HUMAN,1.019575674562881,0.0016233766233766,31674.2,153,1.0,186,1.0,176,1.0
P17980,PSMC3,26S proteasome regulatory subunit 6A,PRS6A_HUMAN,0.986027269869929,0.0016233766233766,49203.53,147,0.9607843137254902,178,0.956989247311828,165,0.9375
P17987,TCP1,T-complex protein 1 subunit alpha,TCPA_HUMAN,2.766601208628941,0.0040983606557377,60343.57,142,0.9281045751633987,174,0.9354838709677419,162,0.9204545454545454
P18065,IGFBP2,Insulin-like growth factor-binding protein 2,IBP2_HUMAN,0.9642050340281868,0.0016233766233766,34814.08,150,0.9803921568627451,184,0.989247311827957,175,0.9943181818181818
P18085,ARF4,ADP-ribosylation factor 4,ARF4_HUMAN,1.277711528614806,0.0040983606557377,20510.77,128,0.8366013071895425,156,0.8387096774193549,137,0.7784090909090909
P18124,RPL7,Large ribosomal subunit protein uL30,RL7_HUMAN,1.202737736527479,0.0072727272727272,29225.77,123,0.803921568627451,144,0.7741935483870968,129,0.7329545454545454
P18206,VCL,Vinculin,VINC_HUMAN,2.665907318858664,0.0016233766233766,123799.3,153,1.0,186,1.0,176,1.0
P18428,LBP,Lipopolysaccharide-binding protein,LBP_HUMAN,0.7852716622889191,0.0016233766233766,53383.62,153,1.0,186,1.0,176,1.0
P18433,PTPRA,Receptor-type tyrosine-protein phosphatase alpha,PTPRA_HUMAN,1.302731500082068,0.0073810825587752,90719.05,112,0.7320261437908496,127,0.6827956989247311,116,0.6590909090909091
P18564,ITGB6,Integrin beta-6,ITB6_HUMAN,0.6764948665502492,0.0058910162002945,85935.99,152,0.9934640522875817,180,0.967741935483871,168,0.9545454545454546
P18577,RHCE,Blood group Rh(CE) polypeptide,RHCE_HUMAN,1.294837436024061,0.0040983606557377,45451.08,150,0.9803921568627451,182,0.978494623655914,167,0.9488636363636364
P18621,RPL17,Large ribosomal subunit protein uL22,RL17_HUMAN,1.952649852670973,0.0073810825587752,21397.02,88,0.5751633986928104,114,0.6129032258064516,96,0.5454545454545454
P18669,PGAM1,Phosphoglycerate mutase 1,PGAM1_HUMAN,1.379333496630926,0.0040983606557377,28803.93,146,0.954248366013072,170,0.9139784946236559,156,0.8863636363636364
P18827,SDC1,Syndecan-1,SDC1_HUMAN,0.6642436304210689,0.0072727272727272,32461.62,153,1.0,186,1.0,174,0.9886363636363636
P19013,KRT4,"Keratin, type II cytoskeletal 4",K2C4_HUMAN,0.8060516901340439,0.0072727272727272,56144.02,152,0.9934640522875817,186,1.0,176,1.0
P19021,PAM,Peptidyl-glycine alpha-amidating monooxygenase,AMD_HUMAN,0.637220419663075,0.0016233766233766,108332.06,153,1.0,186,1.0,176,1.0
P19022,CDH2,Cadherin-2,CADH2_HUMAN,0.6842642990725403,0.0016233766233766,99809.33,153,1.0,186,1.0,176,1.0
P19086,GNAZ,Guanine nucleotide-binding protein G(z) subunit alpha,GNAZ_HUMAN,1.948226011847746,0.0073810825587752,40923.75,99,0.6470588235294118,121,0.6505376344086021,106,0.6022727272727273
P19256,CD58,Lymphocyte function-associated antigen 3,LFA3_HUMAN,0.5554090942869012,0.0040983606557377,28147.38,143,0.934640522875817,175,0.9408602150537635,164,0.9318181818181818
P19320,VCAM1,Vascular cell adhesion protein 1,VCAM1_HUMAN,0.3786283130705062,0.0016233766233766,81276.17,153,1.0,186,1.0,176,1.0
P19338,NCL,Nucleolin,NUCL_HUMAN,0.8875275268441947,0.0016233766233766,76614.4,150,0.9803921568627451,181,0.9731182795698925,169,0.9602272727272727
P19367,HK1,Hexokinase-1,HXK1_HUMAN,2.22608901252583,0.0040983606557377,102485.89,114,0.7450980392156863,139,0.7473118279569892,125,0.7102272727272727
P19652,ORM2,Alpha-1-acid glycoprotein 2,A1AG2_HUMAN,1.303928942090822,0.0016233766233766,23602.62,153,1.0,186,1.0,176,1.0
P19823,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,ITIH2_HUMAN,0.4325849908300624,0.0016233766233766,106463.47,153,1.0,186,1.0,176,1.0
P19827,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,ITIH1_HUMAN,0.5587145730056893,0.0016233766233766,101389.12,153,1.0,186,1.0,176,1.0
P19971,TYMP,Thymidine phosphorylase,TYPH_HUMAN,1.110139849323199,0.0040983606557377,49955.48,150,0.9803921568627451,184,0.989247311827957,169,0.9602272727272727
P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,IF2B_HUMAN,0.9378348977593332,0.0073810825587752,38388.4,102,0.6666666666666666,122,0.6559139784946236,119,0.6761363636363636
P20062,TCN2,Transcobalamin-2,TCO2_HUMAN,0.5694958664807531,0.0055467511885895,47534.98,141,0.9215686274509803,178,0.956989247311828,169,0.9602272727272727
